keys,en,de
ui_cancel,Close,Schließen
customize_player,Customize Player,Spieler anpassen
object_builder,Object Builder,Objekt-Ersteller
properties,Object Properties,Objekt-Eigenschaften
destroy,Destroy Object,Objekt Zerstören
Pause Menu,,Pause-Menü
sound_garden,Garden,Garten
sound_failure,Failure,Fehlschlag
sound_notification,Notification,Benachrichtigung
sound_success,Success,Erfolg
sound_category_music,Music,Musik
sound_category_user_interface,User Interface,Benutzeroberfäche
Movement direction X: ,,Bewegungsrichtung X: 
Movement direction Y: ,,Bewegungsrichtung Y: 
Movement direction Z: ,,Bewegungsrichtung Z: 
time_play_pause,Play/Pause Time,Zeit Abspielen/Pausieren
time_rewind,Rewind Time,Zeit Zurückspulen
jump,Jump,Springen
sprint,Sprint,Sprinten
object_properties,Object Properties & Guides,Objekteigenschaften und Hilfen
toggle_uniform,Toggle Uniform Scale,Uniforme Skalierung Umschalten
flip_h,Flip Horizontally,Horizontal Spiegeln
flip_v,Flip Vertically,Vertikal Spiegeln
choose_shape,Choose Shape,Form Auswählen
